Arr_rate number Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.000277778 3600000 411147 6852 1 2 2 17 56 10 7355,7911 503 6 2-4-10-11-18-19-17
0.000277778 3600000 414271 6904 1 2 4 19 41 10 7331,7754 507 4 4-10-11-18-19
0.000277778 3600000 419124 6985 1 1 17 10 60 1 7661,7703,7821 0 4 17-19-18-11-10
0.000277778 3600000 422369 7039 1 2 4 2 26 10 7256,7974 217 1 4-2
0.000277778 3600000 423932 7065 1 1 10 4 60 1 7899,8171,8330 0 1 10-4
0.000277778 3600000 426043 7100 1 2 18 11 58 10 7907,8407 807 1 18-11
0.000277778 3600000 426564 7109 1 1 3 4 60 1 7150,8379,8410 0 1 3-4
0.000277778 3600000 432562 7209 1 2 18 10 33 10 7354,8395 243 2 18-11-10
0.000277778 3600000 434694 7244 1 1 8 17 60 1 7512,8135,8599 0 2 8-14-17
0.000277778 3600000 440713 7345 1 2 2 19 43 10 7386,7917 107 5 2-7-8-11-18-19
0.000277778 3600000 441171 7352 1 2 9 5 26 10 8559,8589 1207 3 9-10-4-5
0.000277778 3600000 450267 7504 1 1 19 4 60 1 8349,8441,8618 0 4 19-18-11-10-4
0.000277778 3600000 453908 7565 1 2 12 9 8 10 7647,8461 82 4 12-14-8-7-9
0.000277778 3600000 465198 7753 1 1 6 16 60 1 7888,8057,8714 0 6 6-3-7-8-14-17-16
0.000277778 3600000 468718 7811 1 1 10 14 60 1 8036,8065,8219 0 3 10-11-8-14
0.000277778 3600000 474817 7913 1 1 16 17 60 1 8576,8843,8966 0 1 16-17
0.000277778 3600000 475362 7922 1 1 7 9 60 1 8235,8660,8867 0 1 7-9
0.000277778 3600000 476907 7948 1 2 16 5 14 10 9064,9093 1116 7 16-17-19-18-11-10-4-5
0.000277778 3600000 487091 8118 1 1 17 18 60 1 8353,8979,9316 0 2 17-19-18
0.000277778 3600000 489326 8155 1 2 9 14 37 10 8808,9252 653 3 9-7-8-14
0.000277778 3600000 496153 8269 1 1 18 10 60 1 8293,8742,9390 0 2 18-11-10
0.000277778 3600000 497597 8293 1 1 14 7 60 1 8472,8857,9167 0 2 14-8-7
0.000277778 3600000 499982 8333 1 2 14 18 9 10 8575,9138 242 3 14-17-19-18
0.000277778 3600000 502107 8368 1 1 3 14 60 1 8442,8838,9090 0 3 3-7-8-14
0.000277778 3600000 502801 8380 1 2 4 16 16 10 9313,9803 933 6 4-10-11-18-19-17-16
0.000277778 3600000 512975 8549 1 2 6 4 58 10 9212,9435 663 1 6-4
0.000277778 3600000 513242 8554 1 1 10 2 60 1 8951,8984,9130 0 2 10-4-2
0.000277778 3600000 516926 8615 1 2 3 1 4 10 9702,9994 1087 1 3-1
0.000277778 3600000 521657 8694 1 1 17 15 60 1 8772,8795,9371 0 2 17-16-15
